class, NCLOC, DCP, NOCom,WMC
./src/main/java/org/jfree/chart/legend/LegendRenderingOrder.java,5,88.89,2,7
./src/main/java/org/jfree/chart/legend/LegendTitle.java,347,43.76,7,71
./src/main/java/org/jfree/chart/legend/PaintScaleLegend.java,392,40.79,5,70
./src/main/java/org/jfree/chart/plot/CategoryCrosshairState.java,64,59.24,4,19
./src/main/java/org/jfree/chart/plot/CategoryMarker.java,69,60.34,7,19
./src/main/java/org/jfree/chart/plot/CategoryPlot.java,2415,46.61,32,683
./src/main/java/org/jfree/chart/plot/CenterTextMode.java,6,87.23,3,7
./src/main/java/org/jfree/chart/plot/CombinedDomainCategoryPlot.java,358,41.6,14,89
./src/main/java/org/jfree/chart/plot/CombinedDomainXYPlot.java,396,42.69,15,104
./src/main/java/org/jfree/chart/plot/CombinedRangeCategoryPlot.java,307,40.39,12,78
./src/main/java/org/jfree/chart/plot/CombinedRangeXYPlot.java,371,42.57,16,97
./src/main/java/org/jfree/chart/plot/compass/ArrowNeedle.java,78,50,2,20
./src/main/java/org/jfree/chart/plot/compass/CompassPlot.java,438,43.56,5,68
./src/main/java/org/jfree/chart/plot/compass/LineNeedle.java,41,62.73,2,15
./src/main/java/org/jfree/chart/plot/compass/LongNeedle.java,87,45.96,2,21
./src/main/java/org/jfree/chart/plot/compass/MeterNeedle.java,178,52.66,3,37
./src/main/java/org/jfree/chart/plot/compass/MiddlePinNeedle.java,61,53.79,3,17
./src/main/java/org/jfree/chart/plot/compass/PinNeedle.java,59,54.62,3,17
./src/main/java/org/jfree/chart/plot/compass/PlumNeedle.java,51,57.5,2,17
./src/main/java/org/jfree/chart/plot/compass/PointerNeedle.java,70,50,2,21
./src/main/java/org/jfree/chart/plot/compass/ShipNeedle.java,49,58.82,2,20
./src/main/java/org/jfree/chart/plot/compass/WindNeedle.java,45,58.72,2,14
./src/main/java/org/jfree/chart/plot/Crosshair.java,298,55.79,16,44
./src/main/java/org/jfree/chart/plot/CrosshairState.java,109,66.36,7,40
./src/main/java/org/jfree/chart/plot/DatasetRenderingOrder.java,5,91.67,5,7
